dataset,classifier,repeat,split_seed,n_train,n_test,n_features,n_classes,best_params,primary_metric,primary_value,secondary_metric,secondary_value,tertiary_metric,tertiary_value,avg_rrc_size,max_rrc_size,rrc_rc_ratio,elapsed_seconds,status,error
sonar,svm,3,2000,166,42,60,2,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}",n_support_vectors,117,size,7139,,,,,,0.002,ok,
sonar,decision_tree,3,2000,166,42,60,2,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5}",configured_max_depth,5,max_path_features,5.0,avg_path_features,4.785714285714286,,,,0.002,ok,
sonar,random_forest,3,2000,166,42,60,2,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": ""sqrt"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100}",n_estimators,100,max_depth,10,,,,,,0.0,ok,
sonar,fcalc,3,2000,166,42,60,2,"{""cv_f1"": 0.7154444552495527, ""family"": ""proximity"", ""method"": ""proximity""}",size,9960,,,,,,,,0.0,ok,
sonar,fcalc_rand,3,2000,166,42,60,2,"{""cv_f1"": 0.740204005355808, ""family"": ""proximity"", ""method"": ""proximity-non-falsified"", ""num_iters"": 40, ""subsample_size"": 7}",size,4800,num_iters,40,,,,,,0.0,ok,
sonar,naive_bayes,4,2001,166,42,60,2,"{""var_smoothing"": 1e-09}",size,242,,,,,,,,0.0,ok,
sonar,xgboost,4,2001,166,42,60,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1e-05, ""scale_pos_weight"": 1, ""subsample"": 0.8}",n_estimators,200,max_depth,3,,,,,,0.0,ok,
sonar,ips_knn,4,2001,166,42,60,2,"{""k"": 1}",avg_rrc_size,4.738095238095238,max_rrc_size,9.0,,,4.738095238095238,9.0,0.07896825396825397,4.693,ok,
sonar,knn,4,2001,166,42,60,2,"{""n_neighbors"": 1, ""weights"": ""uniform""}",size,60,,,,,,,,0.0,ok,
sonar,logistic_regression,4,2001,166,42,60,2,"{""C"": 10, ""penalty"": ""l1"", ""solver"": ""liblinear""}",size,61,,,,,,,,0.0,ok,
