dataset,method,metric,best_k,best_primary_f1_mean,best_primary_f1_ci95,best_retained_mean,best_retained_ci95,best_compression_ratio_mean,best_compression_ratio_ci95,smallest_k_within_1pct,primary_f1_within_1pct,smallest_k_within_3pct,primary_f1_within_3pct,smallest_k_within_5pct,primary_f1_within_5pct
spambase,global_topk,precision,5,0.912803044963444,0.0057577520400815,5.0,0.0,0.0013586956521739,0.0,3,0.9093105731225188,1,0.9027839256709674,1,0.9027839256709674
spambase,global_topk,precision_log_tp,1360,0.5941589865567539,0.008647231828796,1360.0,0.0,0.3695652173913043,0.0,1360,0.5941589865567539,1360,0.5941589865567539,1060,0.5729411791652625
spambase,global_topk,precision_sqrt_tp,1360,0.6046927828935659,0.0082451942671654,1360.0,0.0,0.3695652173913043,0.0,1360,0.6046927828935659,1360,0.6046927828935659,1060,0.5818889672904879
spambase,global_topk,query_binary_similarity,5,0.9085082521478788,0.0053926877726721,5.0,0.0,0.0013586956521739,0.0,1,0.9028925866089093,1,0.9028925866089093,1,0.9028925866089093
spambase,global_topk,query_numeric_similarity,6,0.9155000324115014,0.0029698631830967,6.0,0.0,0.0016304347826086,0.0,4,0.9112520256092768,1,0.9028925866089093,1,0.9028925866089093
spambase,global_topk,query_similarity,6,0.9155000324115014,0.0029698631830967,6.0,0.0,0.0016304347826086,0.0,4,0.9112520256092768,1,0.9028925866089093,1,0.9028925866089093
spambase,global_topk,query_weighted_log_odds_ratio,1360,0.631956048328376,0.0076387573573731,1360.0,0.0,0.3695652173913043,0.0,1360,0.631956048328376,1060,0.6149771655410302,1060,0.6149771655410302
spambase,global_topk,query_weighted_log_odds_ratio_log_tp,1360,0.6070335656090201,0.0085308274509567,1360.0,0.0,0.3695652173913043,0.0,1360,0.6070335656090201,1360,0.6070335656090201,1060,0.5869634439190057
spambase,global_topk,query_weighted_precision,6,0.9179987926038116,0.0041644526416233,6.0,0.0,0.0016304347826086,0.0,3,0.9093105731225188,1,0.9027839256709674,1,0.9027839256709674
spambase,global_topk,query_weighted_precision_log_tp,1360,0.5941589865567539,0.008647231828796,1360.0,0.0,0.3695652173913043,0.0,1360,0.5941589865567539,1360,0.5941589865567539,1060,0.5729411791652625
